[171/200] Total Loss: 0.0008, Discrepancy Loss: 0.0008,  Constraint Loss: 0.0012
[172/200] Total Loss: 0.0012, Discrepancy Loss: 0.0012,  Constraint Loss: 0.0010
[173/200] Total Loss: 0.0013, Discrepancy Loss: 0.0013,  Constraint Loss: 0.0009
[174/200] Total Loss: 0.0010, Discrepancy Loss: 0.0010,  Constraint Loss: 0.0010
[175/200] Total Loss: 0.0008, Discrepancy Loss: 0.0008,  Constraint Loss: 0.0009
[176/200] Total Loss: 0.0007, Discrepancy Loss: 0.0007,  Constraint Loss: 0.0009
[177/200] Total Loss: 0.0012, Discrepancy Loss: 0.0012,  Constraint Loss: 0.0010
[178/200] Total Loss: 0.0021, Discrepancy Loss: 0.0021,  Constraint Loss: 0.0015
[179/200] Total Loss: 0.0011, Discrepancy Loss: 0.0010,  Constraint Loss: 0.0010
[180/200] Total Loss: 0.0007, Discrepancy Loss: 0.0007,  Constraint Loss: 0.0010
[181/200] Total Loss: 0.0028, Discrepancy Loss: 0.0028,  Constraint Loss: 0.0019
[182/200] Total Loss: 0.0013, Discrepancy Loss: 0.0013,  Constraint Loss: 0.0010
[183/200] Total Loss: 0.0005, Discrepancy Loss: 0.0005,  Constraint Loss: 0.0010
[184/200] Total Loss: 0.0014, Discrepancy Loss: 0.0013,  Constraint Loss: 0.0012
[185/200] Total Loss: 0.0014, Discrepancy Loss: 0.0014,  Constraint Loss: 0.0011
[186/200] Total Loss: 0.0008, Discrepancy Loss: 0.0008,  Constraint Loss: 0.0008
[187/200] Total Loss: 0.0010, Discrepancy Loss: 0.0010,  Constraint Loss: 0.0013
[188/200] Total Loss: 0.0018, Discrepancy Loss: 0.0018,  Constraint Loss: 0.0010
[189/200] Total Loss: 0.0007, Discrepancy Loss: 0.0007,  Constraint Loss: 0.0009
[190/200] Total Loss: 0.0010, Discrepancy Loss: 0.0010,  Constraint Loss: 0.0010
[191/200] Total Loss: 0.0008, Discrepancy Loss: 0.0008,  Constraint Loss: 0.0012
[192/200] Total Loss: 0.0006, Discrepancy Loss: 0.0006,  Constraint Loss: 0.0007
[193/200] Total Loss: 0.0012, Discrepancy Loss: 0.0011,  Constraint Loss: 0.0023
[194/200] Total Loss: 0.0011, Discrepancy Loss: 0.0011,  Constraint Loss: 0.0009
[195/200] Total Loss: 0.0013, Discrepancy Loss: 0.0013,  Constraint Loss: 0.0014
[196/200] Total Loss: 0.0013, Discrepancy Loss: 0.0013,  Constraint Loss: 0.0009
[197/200] Total Loss: 0.0010, Discrepancy Loss: 0.0010,  Constraint Loss: 0.0014
[198/200] Total Loss: 0.0014, Discrepancy Loss: 0.0014,  Constraint Loss: 0.0012
[199/200] Total Loss: 0.0014, Discrepancy Loss: 0.0014,  Constraint Loss: 0.0012
[200/200] Total Loss: 0.0014, Discrepancy Loss: 0.0014,  Constraint Loss: 0.0011
[01/200] Total Loss: 0.0046, Discrepancy Loss: 0.0032,  Constraint Loss: 0.1323
[02/200] Total Loss: 0.0046, Discrepancy Loss: 0.0034,  Constraint Loss: 0.1216
[03/200] Total Loss: 0.0047, Discrepancy Loss: 0.0041,  Constraint Loss: 0.0674
[04/200] Total Loss: 0.0034, Discrepancy Loss: 0.0028,  Constraint Loss: 0.0570
[05/200] Total Loss: 0.0027, Discrepancy Loss: 0.0021,  Constraint Loss: 0.0593
[06/200] Total Loss: 0.0018, Discrepancy Loss: 0.0015,  Constraint Loss: 0.0298
[07/200] Total Loss: 0.0024, Discrepancy Loss: 0.0022,  Constraint Loss: 0.0201
[08/200] Total Loss: 0.0040, Discrepancy Loss: 0.0038,  Constraint Loss: 0.0220
[09/200] Total Loss: 0.0022, Discrepancy Loss: 0.0021,  Constraint Loss: 0.0071
[10/200] Total Loss: 0.0014, Discrepancy Loss: 0.0013,  Constraint Loss: 0.0050
[11/200] Total Loss: 0.0033, Discrepancy Loss: 0.0033,  Constraint Loss: 0.0057
[12/200] Total Loss: 0.0010, Discrepancy Loss: 0.0010,  Constraint Loss: 0.0022
[13/200] Total Loss: 0.0033, Discrepancy Loss: 0.0032,  Constraint Loss: 0.0065
[14/200] Total Loss: 0.0019, Discrepancy Loss: 0.0018,  Constraint Loss: 0.0038
[15/200] Total Loss: 0.0023, Discrepancy Loss: 0.0023,  Constraint Loss: 0.0037
[16/200] Total Loss: 0.0015, Discrepancy Loss: 0.0014,  Constraint Loss: 0.0024
[17/200] Total Loss: 0.0023, Discrepancy Loss: 0.0023,  Constraint Loss: 0.0035
[18/200] Total Loss: 0.0017, Discrepancy Loss: 0.0017,  Constraint Loss: 0.0026
[19/200] Total Loss: 0.0017, Discrepancy Loss: 0.0017,  Constraint Loss: 0.0035
[20/200] Total Loss: 0.0018, Discrepancy Loss: 0.0018,  Constraint Loss: 0.0027
[21/200] Total Loss: 0.0010, Discrepancy Loss: 0.0010,  Constraint Loss: 0.0016
[22/200] Total Loss: 0.0019, Discrepancy Loss: 0.0018,  Constraint Loss: 0.0027
[23/200] Total Loss: 0.0015, Discrepancy Loss: 0.0015,  Constraint Loss: 0.0029
[24/200] Total Loss: 0.0012, Discrepancy Loss: 0.0011,  Constraint Loss: 0.0018
[25/200] Total Loss: 0.0012, Discrepancy Loss: 0.0011,  Constraint Loss: 0.0023
[26/200] Total Loss: 0.0018, Discrepancy Loss: 0.0017,  Constraint Loss: 0.0031
[27/200] Total Loss: 0.0007, Discrepancy Loss: 0.0007,  Constraint Loss: 0.0019
[28/200] Total Loss: 0.0030, Discrepancy Loss: 0.0030,  Constraint Loss: 0.0034
[29/200] Total Loss: 0.0009, Discrepancy Loss: 0.0008,  Constraint Loss: 0.0017
[30/200] Total Loss: 0.0018, Discrepancy Loss: 0.0018,  Constraint Loss: 0.0029
