[78/200] Total Loss: 0.0064, Discrepancy Loss: 0.0060,  Constraint Loss: 0.0002
[79/200] Total Loss: 0.0067, Discrepancy Loss: 0.0062,  Constraint Loss: 0.0002
[80/200] Total Loss: 0.0065, Discrepancy Loss: 0.0061,  Constraint Loss: 0.0002
[81/200] Total Loss: 0.0062, Discrepancy Loss: 0.0058,  Constraint Loss: 0.0002
[82/200] Total Loss: 0.0060, Discrepancy Loss: 0.0056,  Constraint Loss: 0.0002
[83/200] Total Loss: 0.0052, Discrepancy Loss: 0.0049,  Constraint Loss: 0.0001
[84/200] Total Loss: 0.0066, Discrepancy Loss: 0.0060,  Constraint Loss: 0.0003
[85/200] Total Loss: 0.0055, Discrepancy Loss: 0.0052,  Constraint Loss: 0.0002
[86/200] Total Loss: 0.0279, Discrepancy Loss: 0.0110,  Constraint Loss: 0.0085
[87/200] Total Loss: 0.0071, Discrepancy Loss: 0.0057,  Constraint Loss: 0.0007
[88/200] Total Loss: 0.0059, Discrepancy Loss: 0.0050,  Constraint Loss: 0.0004
[89/200] Total Loss: 0.0056, Discrepancy Loss: 0.0051,  Constraint Loss: 0.0002
[90/200] Total Loss: 0.0059, Discrepancy Loss: 0.0055,  Constraint Loss: 0.0002
[91/200] Total Loss: 0.0065, Discrepancy Loss: 0.0061,  Constraint Loss: 0.0002
[92/200] Total Loss: 0.0065, Discrepancy Loss: 0.0055,  Constraint Loss: 0.0005
[93/200] Total Loss: 0.0065, Discrepancy Loss: 0.0061,  Constraint Loss: 0.0002
[94/200] Total Loss: 0.0051, Discrepancy Loss: 0.0048,  Constraint Loss: 0.0001
[95/200] Total Loss: 0.0052, Discrepancy Loss: 0.0047,  Constraint Loss: 0.0002
[96/200] Total Loss: 0.0067, Discrepancy Loss: 0.0060,  Constraint Loss: 0.0004
[97/200] Total Loss: 0.0059, Discrepancy Loss: 0.0056,  Constraint Loss: 0.0001
[98/200] Total Loss: 0.0058, Discrepancy Loss: 0.0054,  Constraint Loss: 0.0002
[99/200] Total Loss: 0.0058, Discrepancy Loss: 0.0055,  Constraint Loss: 0.0001
[100/200] Total Loss: 0.0162, Discrepancy Loss: 0.0079,  Constraint Loss: 0.0041
[101/200] Total Loss: 0.0118, Discrepancy Loss: 0.0071,  Constraint Loss: 0.0024
[102/200] Total Loss: 0.0140, Discrepancy Loss: 0.0083,  Constraint Loss: 0.0029
[103/200] Total Loss: 0.0074, Discrepancy Loss: 0.0060,  Constraint Loss: 0.0007
[104/200] Total Loss: 0.0060, Discrepancy Loss: 0.0049,  Constraint Loss: 0.0006
[105/200] Total Loss: 0.0057, Discrepancy Loss: 0.0052,  Constraint Loss: 0.0002
[106/200] Total Loss: 0.0119, Discrepancy Loss: 0.0072,  Constraint Loss: 0.0024
[107/200] Total Loss: 0.0058, Discrepancy Loss: 0.0054,  Constraint Loss: 0.0002
[108/200] Total Loss: 0.0058, Discrepancy Loss: 0.0054,  Constraint Loss: 0.0002
[109/200] Total Loss: 0.0065, Discrepancy Loss: 0.0058,  Constraint Loss: 0.0004
[110/200] Total Loss: 0.0055, Discrepancy Loss: 0.0052,  Constraint Loss: 0.0002
[111/200] Total Loss: 0.0057, Discrepancy Loss: 0.0054,  Constraint Loss: 0.0001
[112/200] Total Loss: 0.0055, Discrepancy Loss: 0.0052,  Constraint Loss: 0.0002
[113/200] Total Loss: 0.0062, Discrepancy Loss: 0.0057,  Constraint Loss: 0.0002
[114/200] Total Loss: 0.0058, Discrepancy Loss: 0.0053,  Constraint Loss: 0.0003
[115/200] Total Loss: 0.0049, Discrepancy Loss: 0.0046,  Constraint Loss: 0.0002
[116/200] Total Loss: 0.0055, Discrepancy Loss: 0.0053,  Constraint Loss: 0.0001
[117/200] Total Loss: 0.0056, Discrepancy Loss: 0.0053,  Constraint Loss: 0.0002
